Lat,Lon,Elat,Elon,Distance,Year,Month,Day,Hour,Minute,Second,Public,Public2,Bike,Foot,Car,Car2Go,Enjoy,Car2GoFreeCars,EnjoyFreeCars
45.495418,9.154925,45.439963,9.198670,7.046691,2020,03,01,15,54,40,60,73,38,110,24,29,36,0,0
45.479281,9.192478,45.450968,9.166514,3.743009,2020,03,01,15,54,40,44,34,23,60,17,27,28,0,0
45.486587,9.156063,45.463952,9.201411,4.339965,2020,03,01,15,54,40,88,125,29,69,19,24,23,0,0
45.459324,9.224054,45.457191,9.197590,2.077550,2020,03,01,15,54,40,30,47,15,40,9,15,16,0,0
45.450466,9.212185,45.468074,9.159383,4.559749,2020,03,01,15,54,40,37,44,25,70,15,25,21,0,0
45.445448,9.183237,45.469421,9.163223,3.088964,2020,03,01,15,54,40,0,0,18,50,11,14,26,0,0
45.501549,9.176268,45.480797,9.191657,2.600567,2020,03,01,15,54,40,32,29,16,44,9,11,10,0,0
45.487114,9.206449,45.467649,9.202912,2.181802,2020,03,01,15,54,40,24,18,14,38,9,10,10,0,0
45.467356,9.189271,45.462707,9.159263,2.396503,2020,03,01,15,54,40,24,24,16,37,11,13,21,0,0
45.451020,9.161955,45.472998,9.173333,2.599835,2020,03,01,15,54,40,41,24,15,43,9,20,35,0,0
45.468647,9.155030,45.455074,9.176984,2.282314,2020,03,01,15,54,40,35,28,12,34,8,17,14,0,0
45.467415,9.152847,45.475278,9.183254,2.526999,2020,03,01,15,54,40,24,52,18,44,12,26,21,0,0
45.453951,9.159871,45.471478,9.190780,3.099705,2020,03,01,15,54,40,42,35,22,48,11,19,25,0,0
45.469246,9.202207,45.472253,9.174412,2.192933,2020,03,01,15,54,40,25,24,15,36,11,18,15,0,0
45.457090,9.159196,45.468238,9.206333,3.879361,2020,03,01,15,54,40,21,7,22,59,15,22,24,0,0
45.475430,9.175409,45.462950,9.202268,2.512358,2020,03,01,16,04,38,56,78,21,40,12,22,22,0,0
45.496737,9.207256,45.479266,9.195848,2.136457,2020,03,01,16,04,38,11,11,12,33,9,13,15,0,0
45.438894,9.223219,45.466211,9.190144,3.985113,2020,03,01,16,04,38,19,19,23,62,17,20,18,0,0
45.502221,9.213957,45.476896,9.163054,4.865449,2020,03,01,16,04,38,46,64,26,79,16,25,25,0,0
45.488933,9.169048,45.466911,9.170582,2.451536,2020,03,01,16,04,38,24,25,15,43,10,11,19,0,0
45.470621,9.178736,45.490884,9.204835,3.035807,2020,03,01,16,04,38,63,76,19,49,12,19,19,0,0
45.479213,9.180974,45.451968,9.192130,3.151802,2020,03,01,16,04,38,50,39,22,50,14,28,20,0,0
45.467756,9.198266,45.442399,9.214689,3.096770,2020,03,01,16,04,38,24,24,21,52,14,16,19,0,0
45.459073,9.181638,45.448378,9.155217,2.379275,2020,03,01,16,04,38,15,27,17,36,11,16,24,0,0
45.474029,9.188779,45.447848,9.172912,3.163144,2020,03,01,16,04,38,30,51,22,51,16,18,17,0,0
45.469792,9.176623,45.455116,9.228733,4.379225,2020,03,01,16,04,38,53,53,27,67,17,27,17,0,0
45.443523,9.157688,45.455400,9.191427,2.944517,2020,03,01,16,04,38,53,30,18,44,11,13,13,0,0
45.494966,9.223370,45.473728,9.189965,3.515362,2020,03,01,16,04,38,53,67,22,57,16,22,26,0,0
45.453958,9.169342,45.484746,9.184854,3.630712,2020,03,01,16,04,38,150,132,25,58,16,20,21,0,0
45.480738,9.194319,45.465539,9.167359,2.697186,2020,03,01,16,04,38,25,25,18,43,12,18,21,0,0
45.504233,9.197365,45.472274,9.212288,3.739059,2020,03,01,16,04,38,28,44,21,60,13,15,22,0,0
45.452693,9.168254,45.455222,9.217158,3.824741,2020,03,01,16,04,38,49,58,23,66,17,22,22,0,0
45.445255,9.146212,45.455624,9.221428,5.979234,2020,03,01,16,04,38,57,82,30,91,17,25,40,0,0
45.478821,9.156811,45.502679,9.194007,3.929770,2020,03,01,16,04,38,19,19,24,67,13,20,20,0,0
45.489459,9.200169,45.468092,9.170299,3.326784,2020,03,01,16,04,38,28,20,20,53,12,15,19,0,0
45.448903,9.222041,45.453416,9.181992,3.163923,2020,03,01,16,14,39,30,43,16,45,10,21,15,0,0
45.495332,9.184051,45.474736,9.169105,2.569407,2020,03,01,16,14,39,31,29,15,42,8,11,16,0,0
45.484496,9.182200,45.461029,9.174524,2.677048,2020,03,01,16,14,39,72,75,16,42,12,17,17,0,0
45.504049,9.196126,45.466486,9.172530,4.563718,2020,03,01,16,14,39,37,30,27,73,15,15,22,0,0
45.438001,9.183375,45.480973,9.176254,4.810206,2020,03,01,16,14,39,55,39,30,75,20,23,31,0,0
45.449122,9.194137,45.480449,9.174621,3.801202,2020,03,01,16,14,39,42,67,25,60,16,25,24,0,0
45.486498,9.197274,45.456430,9.159098,4.476394,2020,03,01,16,14,39,17,47,25,69,15,21,23,0,0
45.493995,9.185937,45.473889,9.196977,2.395516,2020,03,01,16,14,39,25,29,17,39,11,13,13,0,0
